id,name,brand,price,dept,description
379,Pencils,Bic,1.99,23,"These pencils are made from high-quality materials, providing a smooth and consistent writing experience. The lead is strong and durable, and the erasers are tear-resistant for easy corrections. The hexagonal shape of these pencils offers a comfortable grip, making them ideal for any writing task."
380,Pencil Sharpener,Kum pencil sharpener,3.49,23,"This Pencil Sharpener is a convenient and easy-to-use tool that quickly and efficiently sharpens pencils. Its stainless steel blades are durable and precise, providing a sharp point for writing and drawing. The pencil sharpener has a unique design that allows for easy, one-handed operation and a large capacity shavings tray. It is great for school, office, or home use."
381,Transfer Paper,Tru-Ray,6.99,26,"Transfer Paper is a special type of paper that is used to transfer images or designs from one surface to another. It is ideal for use in fabric, wood, canvas, and other surfaces to create unique designs or to personalize items. Transfer Paper is easy to use and can be used with an inkjet or laser printer for fast and accurate results."
382,Paint Brush,Logan Fruits,4.99,7,"This paint brush is perfect for all your painting needs! It is made of durable, high-quality materials and features a comfortable ergonomic handle for easy use. The brush head is made of soft synthetic bristles that are ideal for a smooth, even finish and are easy to clean. It is perfect for use with all types of paint, making it a great choice for any artist or DIYer."
383,Paint Roller,Paint Roller,5,7,"A paint roller is a painting tool used to apply paint to walls and other surfaces. It consists of a roller head covered with a fabric sleeve, which is typically made of woven polyester or flocked foam. When rolled across a wall, the roller applies a thin, even layer of paint. Paint rollers are available in a variety of sizes and fabric types, making them suitable for a wide range of painting projects."
384,Hole Punch,Bostitch,24.99,23,"The Hole Punch is an essential tool for any office, classroom, or craft room. It is designed to easily punch holes in paper, card stock, and other thin materials. This punch comes in a variety of shapes, sizes, and colors, allowing you to customize your project to fit your needs. It is perfect for creating documents, scrapbooking, and more. The Hole Punch is a must-have tool for any busy workspace."
385,Throw Pillow,Ikea,19.99,21,"Add a cozy touch to your living space with this plush throw pillow. Featuring a soft, velvet-like cover with a solid color, this pillow is designed with comfort in mind. It has a down-filled insert for ultimate softness, making it perfect for snuggling up on the couch or bed. Create a stylish look in any room with this beautiful accent pillow."
386,Glue Stick,Elmer's,2.99,26,"The Glue Stick is a convenient and mess-free adhesive that is perfect for paper craft projects. It provides a strong bond that dries quickly and is easy to clean up. The non-toxic formula makes it safe for kids to use and the smooth application ensures precise results. This product is ideal for scrapbooking, collages, and other creative projects."
387,Construction Paper,Crayola,4.29,26,"Construction paper is a type of heavy paper that is used for art and craft projects, as well as for various other purposes such as wrapping or decorating. It is often colored, and can come in a variety of sizes, textures and colors. Construction paper is durable and can be used for a variety of projects including collage, origami, paper mache and more."
388,Gel Pens,Zebra,4.99,26,"Gel Pens are perfect for writing, drawing, and coloring. They are available in a variety of colors, widths, and styles, allowing you to create whatever masterpiece you desire. They are smooth, skip-free writing and feature vibrant, long-lasting ink. Gel Pens are perfect for art projects, scrapbooking, and journaling."
389,Hot Glue Sticks,Elmer's,2.99,26,"Hot Glue Sticks are a great way to quickly and securely bond materials together. They are designed to work with hot glue guns, melting quickly and providing a strong and lasting bond. The glue is easy to use and can be used on a variety of materials, including plastic, wood, fabric, ceramic, glass, and metal. Hot Glue Sticks are great for a wide range of projects, from crafts to repairs."
390,Hot Glue Gun,Ad-tech,19.99,26,"The Hot Glue Gun is a powerful and easy-to-use tool for crafting, DIY, and repair projects. It features an ergonomic design that makes it comfortable and easy to use, and a high temperature output for fast and secure bonding. The Hot Glue Gun is perfect for a variety of materials, including fabric, paper, plastic, wood, metal, and more. It is the perfect tool for making quick repairs and crafting projects."
391,Shop Vacuum,Shop Vac,60,9,"The Shop Vacuum is a powerful wet/dry vacuum designed to tackle tough messes and debris. It features a powerful motor, a large capacity tank, and a variety of accessories for cleaning up debris in hard-to-reach areas. It is perfect for tackling pet hair, sawdust, and other messes in and around the home. It is easy to assemble and use, and is built to last."
392,Vacuum,Dyson,499.99,9,"The Vacuum is an essential tool for keeping your home clean and tidy. It comes with powerful suction to ensure that dust, dirt, and debris are quickly and easily removed from carpets, hardwood floors, and other surfaces. It is compact and lightweight, making it easy to maneuver and store. It also has multiple attachments for tackling dust and pet hair in hard-to-reach places."
